Parameters => idle_timeout: [5, 400]; step: 5
distribution;timeoutIdle;timeOverhead;energyOverhead
uniform_1_400;5;0.098390;0.098390
uniform_1_400;10;0.097130;0.097130
uniform_1_400;15;0.096010;0.096010
uniform_1_400;20;0.094850;0.094850
uniform_1_400;25;0.093850;0.093850
uniform_1_400;30;0.092690;0.092690
uniform_1_400;35;0.091370;0.091370
uniform_1_400;40;0.090330;0.090330
uniform_1_400;45;0.089110;0.089110
uniform_1_400;50;0.087890;0.087890
uniform_1_400;55;0.086870;0.086870
uniform_1_400;60;0.085270;0.085270
uniform_1_400;65;0.084070;0.084070
uniform_1_400;70;0.082990;0.082990
uniform_1_400;75;0.081750;0.081750
uniform_1_400;80;0.080370;0.080370
uniform_1_400;85;0.079190;0.079190
uniform_1_400;90;0.078150;0.078150
uniform_1_400;95;0.076830;0.076830
uniform_1_400;100;0.075550;0.075550
uniform_1_400;105;0.074490;0.074490
uniform_1_400;110;0.073310;0.073310
uniform_1_400;115;0.071910;0.071910
uniform_1_400;120;0.070590;0.070590
uniform_1_400;125;0.069210;0.069210
uniform_1_400;130;0.067850;0.067850
uniform_1_400;135;0.066730;0.066730
uniform_1_400;140;0.065150;0.065150
uniform_1_400;145;0.063990;0.063990
uniform_1_400;150;0.062750;0.062750
uniform_1_400;155;0.061310;0.061310
uniform_1_400;160;0.059690;0.059690
uniform_1_400;165;0.058550;0.058550
uniform_1_400;170;0.057150;0.057150
uniform_1_400;175;0.055750;0.055750
uniform_1_400;180;0.054490;0.054490
uniform_1_400;185;0.053390;0.053390
uniform_1_400;190;0.052110;0.052110
uniform_1_400;195;0.051190;0.051190
uniform_1_400;200;0.049970;0.049970
uniform_1_400;205;0.048790;0.048790
uniform_1_400;210;0.047650;0.047650
uniform_1_400;215;0.046330;0.046330
uniform_1_400;220;0.045090;0.045090
uniform_1_400;225;0.043950;0.043950
uniform_1_400;230;0.042750;0.042750
uniform_1_400;235;0.041290;0.041290
uniform_1_400;240;0.040050;0.040050
uniform_1_400;245;0.038950;0.038950
uniform_1_400;250;0.038000;0.038000
uniform_1_400;255;0.036800;0.036800
uniform_1_400;260;0.035520;0.035520
uniform_1_400;265;0.033880;0.033880
uniform_1_400;270;0.032540;0.032540
uniform_1_400;275;0.031400;0.031400
uniform_1_400;280;0.030100;0.030100
uniform_1_400;285;0.028960;0.028960
uniform_1_400;290;0.027600;0.027600
uniform_1_400;295;0.026180;0.026180
uniform_1_400;300;0.024980;0.024980
uniform_1_400;305;0.023700;0.023700
uniform_1_400;310;0.022400;0.022400
uniform_1_400;315;0.021360;0.021360
uniform_1_400;320;0.020060;0.020060
uniform_1_400;325;0.018820;0.018820
uniform_1_400;330;0.017740;0.017740
uniform_1_400;335;0.016580;0.016580
uniform_1_400;340;0.015220;0.015220
uniform_1_400;345;0.013820;0.013820
uniform_1_400;350;0.012560;0.012560
uniform_1_400;355;0.011220;0.011220
uniform_1_400;360;0.009800;0.009800
uniform_1_400;365;0.008500;0.008500
uniform_1_400;370;0.007240;0.007240
uniform_1_400;375;0.005980;0.005980
uniform_1_400;380;0.004740;0.004740
uniform_1_400;385;0.003460;0.003460
uniform_1_400;390;0.002240;0.002240
uniform_1_400;395;0.000740;0.000740
uniform_1_400;400;0.000000;0.000000
